WARN: gym.spaces.Box autodetected dtype as <class 'numpy.uint8'>. Please provide explicit dtype.
2018-06-05 23:32:37.258857: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2018-06-05 23:32:37.478548: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1356] Found device 0 with properties: 
name: GeForce GTX TITAN X major: 5 minor: 2 memoryClockRate(GHz): 1.076
pciBusID: 0000:03:00.0
totalMemory: 11.93GiB freeMemory: 11.77GiB
2018-06-05 23:32:37.660321: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1356] Found device 1 with properties: 
name: GeForce GTX TITAN X major: 5 minor: 2 memoryClockRate(GHz): 1.076
pciBusID: 0000:81:00.0
totalMemory: 11.93GiB freeMemory: 11.81GiB
2018-06-05 23:32:37.660437: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1435] Adding visible gpu devices: 0, 1
2018-06-05 23:32:38.227579: I tensorflow/core/common_runtime/gpu/gpu_device.cc:923] Device interconnect StreamExecutor with strength 1 edge matrix:
2018-06-05 23:32:38.227619: I tensorflow/core/common_runtime/gpu/gpu_device.cc:929]      0 1 
2018-06-05 23:32:38.227626: I tensorflow/core/common_runtime/gpu/gpu_device.cc:942] 0:   N N 
2018-06-05 23:32:38.227630: I tensorflow/core/common_runtime/gpu/gpu_device.cc:942] 1:   N N 
2018-06-05 23:32:38.228093: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1053] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 7327 MB memory) -> physical GPU (device: 0, name: GeForce GTX TITAN X, pci bus id: 0000:03:00.0, compute capability: 5.2)
2018-06-05 23:32:38.229102: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1053] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:1 with 7327 MB memory) -> physical GPU (device: 1, name: GeForce GTX TITAN X, pci bus id: 0000:81:00.0, compute capability: 5.2)
2018-06-05 23:32:40.586760: I tensorflow/core/kernels/cuda_solvers.cc:159] Creating CudaSolver handles for stream 0x55b863fd9190
WARN: <class 'atari_wrappers.WarpFrame'> doesn't implement 'observation' method. Maybe it implements deprecated '_observation' method.
steps: 14878	, reward: 658.0
steps: 14098	, reward: 484.0
steps: 30104	, reward: 525.0
steps: 26915	, reward: 637.0
steps: 11898	, reward: 936.0
steps: 4719	, reward: 1570.0
steps: 5107	, reward: 1365.0
steps: 2188	, reward: 935.0
steps: 2007	, reward: 561.0
steps: 2818	, reward: 948.0
steps: 1623	, reward: 551.0
steps: 2425	, reward: 568.0
steps: 1777	, reward: 550.0
steps: 1843	, reward: 551.0
steps: 1583	, reward: 551.0
steps: 1917	, reward: 551.0
steps: 1658	, reward: 549.0
steps: 1609	, reward: 552.0
steps: 1577	, reward: 553.0
steps: 2428	, reward: 964.0
steps: 1709	, reward: 550.0
steps: 1636	, reward: 551.0
steps: 1585	, reward: 549.0
steps: 1924	, reward: 952.0
steps: 4163	, reward: 1059.0
steps: 1577	, reward: 550.0
steps: 2299	, reward: 953.0
steps: 1588	, reward: 552.0
steps: 1606	, reward: 551.0
steps: 3297	, reward: 1076.0
steps: 3116	, reward: 1079.0
steps: 1519	, reward: 552.0
steps: 1519	, reward: 552.0
steps: 1519	, reward: 552.0
steps: 4631	, reward: 917.0
steps: 5426	, reward: 1457.0
steps: 1541	, reward: 550.0
steps: 2324	, reward: 927.0
steps: 1566	, reward: 551.0
steps: 2215	, reward: 947.0
steps: 6539	, reward: 1746.0
steps: 8010	, reward: 1355.0
steps: 5524	, reward: 1679.0
steps: 3376	, reward: 1669.0
steps: 7052	, reward: 2169.0
steps: 2848	, reward: 1719.0
steps: 3421	, reward: 1733.0
steps: 3635	, reward: 1965.0
steps: 4730	, reward: 1628.0
steps: 4811	, reward: 2467.0
steps: 4023	, reward: 2146.0
steps: 5430	, reward: 2185.0
steps: 3303	, reward: 1098.0
steps: 3011	, reward: 2143.0
steps: 3597	, reward: 1728.0
steps: 11647	, reward: 1618.0
steps: 2607	, reward: 1588.0
steps: 1859	, reward: 949.0
steps: 3625	, reward: 2011.0
steps: 2667	, reward: 1172.0
steps: 1509	, reward: 590.0
steps: 1610	, reward: 957.0
steps: 3840	, reward: 1959.0
steps: 3812	, reward: 2045.0
steps: 6661	, reward: 3129.0
steps: 4116	, reward: 3093.0
steps: 3495	, reward: 2376.0
steps: 4866	, reward: 2329.0
steps: 15644	, reward: 2207.0
steps: 2899	, reward: 1897.0
steps: 4471	, reward: 2786.0
